ano;sigla_uf;id_municipio;tipo_rebanho;quantidade
2019;MS;5007935;Equino;1485
2019;MS;5007976;Equino;1559
2019;MS;5008008;Equino;5039
2019;MS;5008305;Equino;8813
2019;MS;5002407;Caprino;177
2019;MS;5002605;Caprino;307
2019;MS;5002803;Caprino;665
2019;MS;5002951;Caprino;141
2019;MS;5003157;Caprino;150
2019;MS;5003256;Caprino;184
2019;MS;5003454;Caprino;62
2019;MS;5003504;Caprino;4
2019;MS;5003702;Caprino;290
2019;MS;5004007;Caprino;92
2019;MS;5004304;Caprino;137
2019;MS;5004502;Caprino;50
2019;MS;5005004;Caprino;270
2019;MS;5005202;Caprino;89
2019;MS;5005400;Caprino;52
2019;MS;5005681;Caprino;151
2019;MS;5005707;Caprino;386
2019;MS;5005806;Caprino;631
2019;MS;5006002;Caprino;327
2019;MS;5006259;Caprino;122
2019;MS;5006606;Caprino;695
2019;MS;5006903;Caprino;2018
2019;MS;5007208;Caprino;25
2019;MS;5007406;Caprino;908
2019;MS;5007703;Caprino;81
2019;MS;5007802;Caprino;85
2019;MS;5008404;Caprino;27
2019;MS;5000252;Bubalino;138
2019;MS;5000708;Bubalino;589
2019;MS;5001102;Bubalino;345
2019;MS;5001904;Bubalino;61
2019;MS;5002803;Bubalino;394
2019;MS;5003306;Bubalino;544
2019;MS;5004007;Bubalino;3
2019;MS;5004601;Bubalino;36
2019;MS;5005103;Bubalino;58
2019;MS;5005152;Bubalino;105
2019;MS;5005251;Bubalino;26
2019;MS;5005806;Bubalino;329
2019;MS;5006002;Bubalino;20
2019;MS;5007208;Bubalino;105
2019;MS;5007554;Bubalino;325
2019;MS;5007802;Bubalino;43
2019;MS;5007901;Bubalino;51
2019;MS;5007976;Bubalino;254
2019;MS;5008008;Codornas;66556
2019;MS;5000856;Suíno - total;1089
2019;MS;5001508;Suíno - total;51773
2019;MS;5002001;Suíno - total;685
2019;MS;5002100;Suíno - total;2422
2019;MS;5002159;Suíno - total;863
2019;MS;5002308;Suíno - total;181340
2019;MS;5002704;Suíno - total;45373
2019;MS;5002951;Suíno - total;1086
2019;MS;5003207;Suíno - total;4785
2019;MS;5003306;Suíno - total;4946
2019;MS;5003504;Suíno - total;10450
2019;MS;5003900;Suíno - total;1575
2019;MS;5004106;Suíno - total;991
2019;MS;5004403;Suíno - total;1638
2019;MS;5005004;Suíno - total;972
2019;MS;5005608;Suíno - total;622
2019;MS;5006200;Suíno - total;1517
2019;MS;5006275;Suíno - total;2178
2019;MS;5006309;Suíno - total;4329
2019;MS;5006606;Suíno - total;26918
2019;MS;5007208;Suíno - total;14000
2019;MS;5007307;Suíno - total;945
2019;MS;5007703;Suíno - total;1400
2019;MS;5007802;Suíno - total;2509
2019;MS;5007976;Suíno - total;846
2019;MS;5001243;Galináceos - galinhas;12226
2019;MS;5001904;Galináceos - galinhas;6250
2019;MS;5002100;Galináceos - galinhas;10066
2019;MS;5002159;Galináceos - galinhas;16981
2019;MS;5002407;Galináceos - galinhas;6180
2019;MS;5002605;Galináceos - galinhas;10013
2019;MS;5002704;Galináceos - galinhas;38820
2019;MS;5003157;Galináceos - galinhas;6200
2019;MS;5003306;Galináceos - galinhas;15597
2019;MS;5003488;Galináceos - galinhas;21424
2019;MS;5004304;Galináceos - galinhas;10512
2019;MS;5004403;Galináceos - galinhas;7020
2019;MS;5004700;Galináceos - galinhas;266285
2019;MS;5005202;Galináceos - galinhas;1860
2019;MS;5005251;Galináceos - galinhas;25726
2019;MS;5005608;Galináceos - galinhas;13654
2019;MS;5005681;Galináceos - galinhas;9407
2019;MS;5005707;Galináceos - galinhas;57033
