Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2014-07-31;10;130,6;944,4;20,2;6,9;,6;
2014-08-31;null;0;942,8;25,4;8,5;1;
2014-09-30;7;19,4;940;27,3;9,8;1,3;
2014-10-31;null;null;939,6;26,3;10,4;1,3;
2014-11-30;10;null;938;23,7;8,9;,9;
2014-12-31;null;null;null;null;8,1;null;
2015-01-31;9;null;null;null;11,8;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;6;138;942;21;6,6;,3;
2015-06-30;3;7,4;943,8;20,3;7,2;,7;
2015-07-31;8;33;942,8;20,8;8,9;,8;
2015-08-31;2;25;941,7;23,7;7,3;,9;
2015-09-30;10;191;939,5;24,6;16,1;1,4;
2015-10-31;12;190;939,3;25,3;9,9;1,2;
2015-11-30;18;null;937,9;24,8;9,6;,9;
2015-12-31;25;134,4;939,3;24,4;9,1;,7;
2016-01-31;24;200,6;937,1;24,1;8,6;,9;
2016-02-29;20;null;939,7;24,4;9,4;,9;
2016-03-31;12;null;941;24,3;9,2;,4;
2016-04-30;2;null;941,1;23,9;7,6;,4;
2016-05-31;8;64,6;943;20,7;6,7;,3;
2016-06-30;10;60,8;944,6;18,9;7,4;,3;
2016-07-31;1;3;943,1;20,5;7,7;,6;
2016-08-31;7;80,4;942;21,8;11,2;,9;
2016-09-30;4;22;942;22,3;9,4;,5;
2016-10-31;13;110,4;939,2;23,8;9,7;,9;
2016-11-30;16;68,4;938,2;23,8;10,3;,6;
2016-12-31;19;165,8;938,3;23,7;8,2;,7;
2017-01-31;24;194,2;939,3;23,7;7,9;,3;
2017-02-28;22;29,4;938,7;24;9,8;,5;
2017-03-31;24;23,6;939,4;24,2;7,9;,4;
2017-04-30;14;null;null;22;6,9;null;
2017-05-31;15;46,6;941,1;22,6;8,4;,4;
2017-06-30;9;null;942,9;19,5;7,7;,4;
2017-07-31;0;0;945,9;19,4;8,3;,6;
2017-08-31;7;85,2;941,5;22,5;9,3;,7;
2017-09-30;3;30,8;941,2;25,8;8,2;,8;
2017-10-31;19;92,4;938,7;24,2;12,7;1,6;
2017-11-30;29;104,4;937,2;24;9,6;1;
2017-12-31;21;87,8;937,4;23,9;7,6;,6;
2018-01-31;24;32,6;938,3;23,7;9,3;,7;
2018-02-28;null;null;null;23,2;11,1;null;
2018-03-31;22;60,6;938,7;24,4;9,1;,5;
2018-04-30;11;45,6;941,4;23,5;5,3;,2;
2018-05-31;4;25,6;942,6;21,2;8,3;,3;
2018-06-30;2;3;943,8;19,7;7,7;,4;
2018-07-31;0;0;943,4;20,6;5,8;,3;
2018-08-31;12;23,6;943,1;21,1;9,7;,7;
2018-09-30;14;24,6;940;22,4;8,4;,9;
2018-10-31;null;null;null;null;8,5;null;
2018-11-30;5;null;null;null;9,2;null;
2018-12-31;13;58;939,2;24,5;6,6;1,9;
2019-01-31;19;271,4;940,5;24,8;7,3;2;
2019-02-28;17;291;938,8;24,4;8,4;2,2;
2019-03-31;16;175,6;940,3;24,3;9,2;1,9;
2019-04-30;12;120,2;940,2;23,7;6,4;1,6;
2019-05-31;11;33,8;941,4;21,5;7,4;1,8;
2019-06-30;3;18,2;943,6;21,3;8,4;1,8;
2019-07-31;4;13,6;943,5;19,9;6,5;2;
2019-08-31;1;,4;943,9;22,3;10;2,5;
2019-09-30;3;15,8;940,1;26,4;10;2,5;
