Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Operante
Data Inicial: 2006-08-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-07-31;null;null;1003,5;21,9;8,4;2,1;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;null;999,1;27,6;8,2;2,7;
2015-11-30;null;null;null;null;null;null;
2015-12-31;null;null;null;null;null;null;
2016-01-31;null;null;null;null;null;null;
2016-02-29;18;null;999;27,8;9,6;2,1;
2016-03-31;11;76;1000,8;26,7;8,5;1,6;
2016-04-30;9;37,6;1000,5;26,1;8;1,8;
2016-05-31;6;27,4;1004,1;22;5,4;1,5;
2016-06-30;11;37;1006,3;19;6,5;1,5;
2016-07-31;1;,2;1003,7;21,1;7,6;1,8;
2016-08-31;8;85,6;1002,3;23;9,2;2;
2016-09-30;7;26,8;1002,8;23,2;7,1;2;
2016-10-31;5;53;998,7;26,8;7,3;2,4;
2016-11-30;12;139,4;998,2;26,3;10,5;1,7;
2016-12-31;18;218,6;997,8;27,3;12,9;2,3;
2017-01-31;15;281,6;998,4;27,5;6,9;1,7;
2017-02-28;18;119,8;998,3;27,4;7,7;1,2;
2017-03-31;12;104,8;999,1;27,1;5,3;,7;
2017-04-30;12;105,4;1000,8;25,1;9;,4;
2017-05-31;14;92,4;1001,4;24,5;8,7;,8;
2017-06-30;15;38,6;1003,7;21,3;6,9;,7;
2017-07-31;3;,6;1006,4;20,3;7,1;,3;
2017-08-31;4;81,4;1001,3;24,1;7,8;,6;
2017-09-30;2;6,6;1000,7;26;7,2;,7;
2017-10-31;9;223;998,1;26,7;10,1;1,3;
2017-11-30;12;124,4;996,7;26,9;7,5;,8;
2017-12-31;21;336,4;996,9;27,2;7,5;,6;
2018-01-31;19;237,4;998,1;27,2;9,1;,8;
2018-02-28;15;282,8;997,9;27;5,6;,4;
2018-03-31;null;null;998;28,4;5,9;,5;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;11;3,4;1004,6;20,5;7,8;2,1;
2018-08-31;11;24,4;1004,6;20,8;8,8;2,3;
2018-09-30;15;87,4;999,7;24,5;8,7;2,2;
2018-10-31;12;51,4;998,1;27,6;8,8;2,3;
2018-11-30;20;245,2;997,3;26,9;8,2;2,1;
2018-12-31;15;51,2;998,8;27,6;7,5;2,2;
2019-01-31;15;78,2;999,9;28,1;11,3;2,4;
2019-02-28;16;null;998,7;26,8;8,9;2,2;
2019-03-31;13;null;999,7;27;6,7;2;
2019-04-30;8;null;1000,1;25,7;7,7;1,7;
2019-05-31;10;61,8;1001,8;23,6;5,9;1,9;
2019-06-30;8;20,2;1003,8;22,5;8,4;1,9;
2019-07-31;3;null;1005;20,4;9,3;2,1;
2019-08-31;null;null;null;null;8,6;null;
2019-09-30;null;null;null;null;8,8;null;
2019-10-31;1;null;null;null;9,6;null;
2019-11-30;3;null;null;null;9,4;null;
