Nome: DOURADOS
Codigo Estacao: A721
Latitude: -22.19388888
Longitude: -54.91138888
Altitude: 463.3
Situacao: Pane
Data Inicial: 2006-10-17
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-06-30;null;null;964,6;20;6;2,2;
2015-07-31;null;null;null;null;6,2;null;
2015-08-31;null;null;962;23,3;7,1;2,4;
2015-09-30;9;242,8;959,4;24;7,2;2,6;
2015-10-31;9;64,2;959,5;24,7;9;2,8;
2015-11-30;null;null;957,5;24,4;9;2,3;
2015-12-31;null;null;958,7;24,8;8,1;2,3;
2016-01-31;null;null;957,1;25,3;7,5;2,3;
2016-02-29;null;null;959,3;25,4;6,8;2,1;
2016-03-31;null;null;961,2;24,4;5,8;2;
2016-04-30;null;null;960,8;25,1;7,3;2,1;
2016-05-31;null;null;964,1;18,5;6,7;2;
2016-06-30;null;null;965,9;16,9;5,8;2,1;
2016-07-31;3;46,4;963,8;19,4;6,9;2,4;
2016-08-31;8;84,8;962,5;20,9;8;2,6;
2016-09-30;4;21,2;963,2;21,2;10,2;2,5;
2016-10-31;4;20,2;959,5;23,8;8;2,9;
2016-11-30;4;28;958,7;24,8;8,9;2,7;
2016-12-31;21;132,8;958,2;24,3;6,4;2,4;
2017-01-31;22;50,4;958,8;25,3;6,7;2;
2017-02-28;28;48;958,6;25,8;8,3;1,7;
2017-03-31;20;36,2;959,8;25,3;6,9;2,1;
2017-04-30;null;null;961,3;21,6;6,7;2,2;
2017-05-31;null;null;961,5;21,6;7,2;1,6;
2017-06-30;null;null;964;18,9;8,4;1,9;
2017-07-31;null;0;967,2;19,3;7,5;2,7;
2017-08-31;11;50;962;21,8;9,3;2,8;
2017-09-30;3;6,8;961,7;25,8;6,9;2,8;
2017-10-31;15;101,2;958,5;23,9;13,9;,8;
2017-11-30;18;33,4;957,2;23,8;6,5;,3;
2017-12-31;24;73,4;957;24,9;2,6;,1;
2018-01-31;null;null;958,1;24,3;6,3;,1;
2018-02-28;15;83;958,3;24,5;4;,1;
2018-03-31;19;136,6;958,4;25,5;3,7;,1;
2018-04-30;3;6;962,1;24,8;1,8;,1;
2018-05-31;6;null;963,2;21,4;3,7;,1;
2018-06-30;12;12,8;964,5;18,2;3,6;,2;
2018-07-31;1;,4;963,9;20,2;6,5;2,3;
2018-08-31;10;66,6;964,4;18,4;9,4;2,7;
2018-09-30;12;170,8;960,1;21,5;7,6;2,5;
2018-10-31;16;215,8;958,5;24,1;8,9;2,6;
2018-11-30;12;188,6;957,9;24,2;10,4;2,6;
2018-12-31;10;91,6;958,9;25,5;11;2;
2019-01-31;11;234,8;960;26,5;6,4;1,9;
2019-02-28;13;null;958,2;25,6;6,8;1,9;
2019-03-31;10;131,4;960,4;25,3;5,8;2,1;
2019-04-30;7;14,8;960,4;24;6,1;1,7;
2019-05-31;8;null;961,2;21,9;6,4;2,1;
2019-06-30;4;12,4;963,9;21,6;6,8;2,2;
2019-07-31;1;,2;964,3;18,9;7,3;2,5;
2019-08-31;3;5,4;964,9;20,7;7,8;3,1;
2019-09-30;null;null;null;null;11,3;null;
2019-10-31;2;null;null;26,5;8,9;null;
2019-11-30;4;null;null;null;9,1;null;
2019-12-31;15;97,4;958;25,2;6,4;2,1;
2020-01-31;17;217,6;957,3;25,9;6,4;2;
2020-02-29;12;99,4;958,7;25,7;6,9;2,1;
2020-03-31;null;null;null;null;8,9;null;
2020-04-30;null;null;null;null;6,5;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

