Nome: IVINHEMA
Codigo Estacao: A709
Latitude: -22.30055555
Longitude: -53.82277777
Altitude: 377.36
Situacao: Operante
Data Inicial: 2003-02-07
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-06-30;11;273,8;972,3;19,6;10,6;2,5;
2012-07-31;5;16,2;973;19,3;8,7;2,5;
2012-08-31;1;4,4;973,9;23,1;7,6;3,1;
2012-09-30;6;117,2;970,9;24,8;9,6;3,2;
2012-10-31;10;98,4;967,4;26,2;10,8;2,9;
2012-11-30;10;158,4;966;26,4;12,6;2,7;
2012-12-31;15;152,4;965,9;26,9;7,8;2,5;
2013-01-31;10;83,6;967,2;26;10;2,8;
2013-02-28;19;162;967,6;25,4;9,5;2,5;
2013-03-31;16;213;968,4;25,2;7,7;2,6;
2013-04-30;10;127,4;970,6;22,8;7,8;2,4;
2013-05-31;12;46,4;971,2;21,9;9,6;2,5;
2013-06-30;14;168,6;972;20,2;6,8;2,1;
2013-07-31;6;24,6;974,3;19;6,5;2,5;
2013-08-31;3;2,4;972,8;19,8;10;3,1;
2013-09-30;11;94,2;970,6;22,8;11,8;3,3;
2013-10-31;14;169,8;969,2;23,9;9,9;2,8;
2013-11-30;9;121,8;966,9;25,9;11;3;
2013-12-31;6;95,8;965,3;27,3;9,6;2,6;
2014-01-31;null;null;null;null;null;null;
2014-02-28;13;null;null;24,9;7,2;null;
2014-03-31;14;143;968,6;24,9;10,8;2,3;
2014-04-30;10;64,4;970,4;23,6;9,7;2,5;
2014-05-31;12;140,6;971,6;20,4;8,6;2,2;
2014-06-30;9;47,4;972,3;20,5;10,3;2,8;
2014-07-31;11;151,4;974,8;19,1;13,9;2,6;
2014-08-31;4;16,8;972,8;22,7;8,2;2,7;
2014-09-30;11;149,6;969,3;24,5;9,4;3,2;
2014-10-31;9;134,6;969,2;26,7;9,8;2,7;
2014-11-30;11;125,6;967,3;25;7,8;2,5;
2014-12-31;15;120;967;26,1;9,8;2,8;
2015-01-31;14;139,4;969,1;27;9,5;2,3;
2015-02-28;19;105,4;967,7;25,9;9,1;2,1;
2015-03-31;null;null;968,7;25,2;8,2;2;
2015-04-30;null;null;970,1;24,2;9,3;2,2;
2015-05-31;null;0;972,1;20,7;8,8;2,3;
2015-06-30;0;0;974;20,7;8,6;2,4;
2015-07-31;0;0;972,8;19,5;9,9;2,7;
2015-08-31;0;0;971,5;23,7;7,2;2,6;
2015-09-30;8;198,4;968,6;24,5;7,9;2,6;
2015-10-31;16;98,8;968,7;25,3;8,1;2,7;
2015-11-30;15;null;null;25,4;8,9;null;
2015-12-31;null;null;null;25,8;8,2;null;
2016-01-31;null;null;966,2;26,1;8,9;2,6;
2016-02-29;null;null;null;27;7,6;null;
2016-03-31;null;null;970,2;25,3;7,4;2,2;
2016-04-30;null;null;null;null;8,6;null;
2016-05-31;null;null;973,4;19,5;6,7;2,3;
2016-06-30;null;null;976,9;18,1;5,5;2,5;
2016-07-31;3;null;973;20,3;9,4;2,4;
2016-08-31;5;null;null;null;8,8;null;
2016-09-30;5;26,2;972,4;21,6;10,7;2,5;
2016-10-31;4;null;null;null;7,3;null;
2016-11-30;6;null;null;null;9,7;null;
2016-12-31;8;null;null;null;8,5;null;
2017-01-31;17;151;968;26,1;10,1;2,2;
2017-02-28;11;99,8;967,6;27,2;7,1;2,2;
2017-03-31;6;null;null;26,9;7,6;null;
2017-04-30;14;166,8;970,6;22,6;7,1;2,4;
2017-05-31;14;173,8;970,8;22,4;7,7;2,2;
2017-06-30;7;null;null;19,3;9,1;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;4;null;null;null;9,1;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;5;null;null;null;8,3;null;
2017-11-30;9;null;null;25,1;8,4;null;
2017-12-31;19;221,4;966,3;25,9;7,4;2,3;
2018-01-31;22;166,4;967,5;25,4;8,9;2,4;
2018-02-28;11;178,2;967,7;25,3;7,7;2,4;
2018-03-31;19;286,6;967,6;26,3;10,3;2;
2018-04-30;4;14,8;971,4;25,5;5,7;2,1;
2018-05-31;5;47;972,8;22,2;7,9;2,2;
2018-06-30;7;29,2;974;19,5;8,4;2,3;
2018-07-31;0;0;973,3;21,4;7,6;2,4;
2018-08-31;9;132,4;974;19;9,5;2,7;
2018-09-30;11;152,6;969,6;22,5;9,8;2,5;
2018-10-31;14;331,4;967,9;24,3;11,5;2,5;
2018-11-30;13;148,6;967,4;25,1;9,5;2,6;
2018-12-31;10;44,4;968,1;27,2;7,2;2,4;
2019-01-31;12;145,2;969,3;27,5;12;2,2;
2019-02-28;14;126,4;967,6;26,4;8,6;2,1;
2019-03-31;15;94,6;969,8;25,5;7,8;2,1;
2019-04-30;8;53,2;969,6;24,9;8;1,9;
2019-05-31;7;28,2;970,9;22,5;7,8;2,3;
2019-06-30;9;43,4;973,6;21,9;6,9;2,3;
2019-07-31;3;54;973,9;19,3;7,3;2,5;
2019-08-31;1;2,8;974,2;22,1;8;2,9;
2019-09-30;null;null;null;null;9,1;null;
2019-10-31;null;null;null;null;8,7;null;
2019-11-30;3;null;null;null;9;null;
2019-12-31;19;234,8;967,3;25,6;8,2;2,2;
2020-01-31;14;165,4;966,5;26,9;7,8;2,3;
2020-02-29;12;217,4;968;26,3;8,7;2,1;
2020-03-31;6;42,6;969,2;26,8;5,3;2,1;
2020-04-30;1;null;null;null;10,7;null;
2020-05-31;null;null;null;null;6,9;null;
2020-06-30;null;null;null;null;9,5;null;
2020-07-31;3;null;972,1;20,8;7;2,3;
2020-08-31;null;null;null;null;7,6;null;
2020-09-30;null;null;969;27,6;11,1;2,5;
2020-10-31;7;null;967,3;26,7;9,4;2,5;
2020-11-30;null;null;null;null;7,7;null;
2020-12-31;null;null;null;null;10,8;null;

