Nome: CORUMBA
Codigo Estacao: A724
Latitude: -18.99666666
Longitude: -57.63749999
Altitude: 111.73
Situacao: Operante
Data Inicial: 2006-10-25
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-07-31;2;null;null;21,2;7,4;null;
2018-08-31;1;null;null;null;6,3;null;
2018-09-30;6;null;null;null;5,8;null;
2018-10-31;3;null;null;null;4,9;null;
2018-11-30;5;null;null;null;6,6;null;
2018-12-31;4;null;null;null;5,4;null;
2019-01-31;4;null;null;null;null;null;
2019-02-28;8;null;null;null;6;null;
2019-03-31;7;62,6;997,7;28;5,4;1,2;
2019-04-30;13;106,2;998;26,7;8,4;,5;
2019-05-31;9;74,2;999,6;24,4;4,3;,2;
2019-06-30;3;28;1001,4;24,1;7,1;,2;
2019-07-31;3;7,4;1002,3;22;7,9;,4;
2019-08-31;3;17;1002,4;24,8;9,1;1;
2019-09-30;4;19,8;997,6;28,1;8,7;,9;
2019-10-31;6;11,4;996,6;28,6;7;,8;
2019-11-30;21;52;994,5;29,3;6,8;,4;
2019-12-31;20;72,4;995,6;28;7,4;,3;
2020-01-31;14;100,6;994,9;29,2;6,9;,4;
2020-02-29;18;124,2;996,4;28;5,6;,2;
2020-03-31;5;48,4;996,5;29,5;5;,2;
2020-04-30;5;77,4;999,6;27;7,4;,3;
2020-05-31;6;59,2;1001,5;23,7;8,3;,4;
2020-06-30;6;19,2;1000,4;23,3;6,3;,9;
2020-07-31;1;,2;1000,6;24,1;8,8;1;
2020-08-31;6;22,2;999,5;26,2;8,3;1,1;
2020-09-30;4;6,4;997,5;28,2;8,3;1,5;
2020-10-31;16;120,8;995,3;29,8;9,3;1;
2020-11-30;6;11,4;995,7;30;6,4;,8;
2020-12-31;10;131,4;995,1;29;7,9;,6;

