Data,Cidade,Temperatura_C,Pressao_hPa,Umidade_Perc,Precipitacao_mm
2021-01-17,Campo Grande,23.3,1008.1,0,9.0
2021-01-17,Dourados,23.9,1007.4,0,14.9
2021-01-17,Três Lagoas,25.0,1009.8,0,13.1
2021-01-17,Corumbá,25.4,1006.0,0,9.9
2021-01-17,Ponta Porã,22.4,1008.1,0,14.0
2021-01-17,Aquidauana,25.5,1007.1,0,17.8
2021-01-18,Campo Grande,22.7,1009.8,0,10.0
2021-01-18,Dourados,22.9,1009.5,0,19.8
2021-01-18,Três Lagoas,26.2,1010.4,0,1.3
2021-01-18,Corumbá,22.8,1008.5,0,6.6
2021-01-18,Ponta Porã,21.3,1011.2,0,49.4
2021-01-18,Aquidauana,23.9,1009.0,0,31.3
2021-01-19,Campo Grande,23.1,1011.1,0,18.3
2021-01-19,Dourados,22.9,1011.1,0,21.8
2021-01-19,Três Lagoas,26.3,1011.9,0,5.1
2021-01-19,Corumbá,23.9,1009.4,0,1.1
2021-01-19,Ponta Porã,22.1,1012.4,0,37.1
2021-01-19,Aquidauana,24.4,1010.5,0,16.8
2021-01-20,Campo Grande,23.2,1012.3,0,3.8
2021-01-20,Dourados,22.8,1012.0,0,24.1
2021-01-20,Três Lagoas,25.8,1012.5,0,1.5
2021-01-20,Corumbá,24.4,1010.3,0,6.3
2021-01-20,Ponta Porã,22.6,1013.1,0,30.5
2021-01-20,Aquidauana,24.2,1011.2,0,28.9
2021-01-21,Campo Grande,23.6,1012.9,0,11.0
2021-01-21,Dourados,23.1,1012.6,0,17.0
2021-01-21,Três Lagoas,26.7,1012.1,0,0.1
2021-01-21,Corumbá,25.9,1011.2,0,12.2
2021-01-21,Ponta Porã,22.1,1013.9,0,10.4
2021-01-21,Aquidauana,25.1,1011.7,0,9.5
2021-01-22,Campo Grande,24.1,1014.9,0,20.2
2021-01-22,Dourados,24.1,1014.2,0,11.8
2021-01-22,Três Lagoas,26.5,1014.2,0,1.6
2021-01-22,Corumbá,25.6,1013.0,0,24.7
2021-01-22,Ponta Porã,23.6,1016.1,0,4.5
2021-01-22,Aquidauana,25.9,1013.4,0,1.4
2021-01-23,Campo Grande,24.7,1014.1,0,5.4
2021-01-23,Dourados,24.2,1013.8,0,7.3
2021-01-23,Três Lagoas,27.4,1013.2,0,0.1
2021-01-23,Corumbá,27.0,1012.1,0,3.4
2021-01-23,Ponta Porã,22.9,1015.3,0,16.5
2021-01-23,Aquidauana,27.3,1012.5,0,0.7
2021-01-24,Campo Grande,24.9,1012.1,0,11.5
2021-01-24,Dourados,24.4,1011.9,0,10.7
2021-01-24,Três Lagoas,26.7,1011.9,0,0.0
2021-01-24,Corumbá,27.6,1009.9,0,0.4
2021-01-24,Ponta Porã,23.2,1013.7,0,15.6
2021-01-24,Aquidauana,27.3,1010.7,0,1.1
2021-01-25,Campo Grande,24.4,1010.8,0,7.4
2021-01-25,Dourados,24.7,1010.1,0,2.5
